form	class	gloss	derivation
war	ROOT	position	w=place and space / a=places
was	ROOT	region	w=place and space / a=places
wak	ROOT	land	w=place and space / a=places
wat	ROOT	sea	w=place and space / a=places
wap	ROOT	island	w=place and space / a=places
wen	ROOT	inside	w=place and space / e=relative position
wel	ROOT	outside	w=place and space / e=relative position
wer	ROOT	above	w=place and space / e=relative position
wes	ROOT	below	w=place and space / e=relative position
wek	ROOT	in front of	w=place and space / e=relative position
wet	ROOT	behind	w=place and space / e=relative position
wep	ROOT	beside	w=place and space / e=relative position
win	ROOT	north	w=place and space / i=direction
wil	ROOT	south	w=place and space / i=direction
wir	ROOT	east	w=place and space / i=direction
wis	ROOT	west	w=place and space / i=direction
wik	ROOT	left	w=place and space / i=direction
wit	ROOT	right	w=place and space / i=direction
wip	ROOT	middle	w=place and space / i=direction
won	ROOT	near	w=place and space / o=extent
wol	ROOT	far	w=place and space / o=extent
wor	ROOT	distance	w=place and space / o=extent
wos	ROOT	height	w=place and space / o=extent
wok	ROOT	depth	w=place and space / o=extent
wot	ROOT	width	w=place and space / o=extent
wop	ROOT	length	w=place and space / o=extent
wun	ROOT	container	w=place and space / u=bounded space
wul	ROOT	box	w=place and space / u=bounded space
wur	ROOT	bag	w=place and space / u=bounded space
wus	ROOT	border	w=place and space / u=bounded space
wuk	ROOT	gate	w=place and space / u=bounded space
wut	ROOT	way, route	w=place and space / u=bounded space
wup	ROOT	corner	w=place and space / u=bounded space
wum	ROOT	boundary of	w=place and space / u=bounded space
yan	ROOT	time	y=time / a=time itself
yal	ROOT	now	y=time / a=time itself
yar	ROOT	past	y=time / a=time itself
yas	ROOT	future	y=time / a=time itself
yak	ROOT	moment	y=time / a=time itself
yat	ROOT	period	y=time / a=time itself
yap	ROOT	era	y=time / a=time itself
yen	ROOT	day	y=time / e=units
yel	ROOT	night	y=time / e=units
yer	ROOT	year	y=time / e=units
yes	ROOT	month	y=time / e=units
yek	ROOT	week	y=time / e=units
yet	ROOT	hour	y=time / e=units
yep	ROOT	minute	y=time / e=units
yin	ROOT	before	y=time / i=sequence
yil	ROOT	after	y=time / i=sequence
yir	ROOT	during	y=time / i=sequence
yis	ROOT	start of	y=time / i=sequence
yik	ROOT	end of	y=time / i=sequence
yit	ROOT	between	y=time / i=sequence
yip	ROOT	since	y=time / i=sequence
yim	ROOT	new, recent	y=time / i=sequence
yon	ROOT	always	y=time / o=frequency
yol	ROOT	never	y=time / o=frequency
yor	ROOT	often	y=time / o=frequency
yos	ROOT	sometimes	y=time / o=frequency
yok	ROOT	again	y=time / o=frequency
yot	ROOT	still	y=time / o=frequency
yop	ROOT	already	y=time / o=frequency
yun	ROOT	fast	y=time / u=pace
yul	ROOT	slow	y=time / u=pace
yur	ROOT	long in time	y=time / u=pace
yus	ROOT	brief	y=time / u=pace
yuk	ROOT	sudden	y=time / u=pace
yut	ROOT	gradual	y=time / u=pace
yup	ROOT	constant	y=time / u=pace
yum	ROOT	old, of long standing	y=time / u=pace
